date;senders;receivers
1933-01-18;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-06-02;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-07-14;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-07-19;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-07-22;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-09-29;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-09-30;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-11-08;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-11-09;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-11-14;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-12-11;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-01-21;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-01-30;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-02-06;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-02-10;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-02-13;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-02-17;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-04-17;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-06-14;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-07-16;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-07-25;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-10-13;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)/ Universität Leipzig. Fachbereich Physik
1934-10-24;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-11-01;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-11-07;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-11-30;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-12-03;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1934-12-16;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1935-02-09;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1935-06-15;Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Departement Physik;Heisenberg, Werner (1901-1976)
1933-04-26;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1933-06-18;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1933-11-15;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1934-07-23;Planck, Max (1858-1947) /Preußische Akademie der Wissenschaften (1918-1946);Heisenberg, Werner (1901-1976)
1933-11-08;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1920-10-19;Heisenberg, Werner (1901-1976);Meierott, Lorenz
1921-01-23;Teucher, Martin (1921-1978);Unbekannt
1933;Unbekannt;Heisenberg, Werner (1901-1976)
1931-09-18;Leyden, Rolf van;Heisenberg, Werner (1901-1976)
1923-10-01;Unbekannt;Heisenberg, Werner (1901-1976)
1934-04-04;Born, Max (1882-1970);Heisenberg, Werner (1901-1976)
1933-07-04;Born, Max (1882-1970);Heisenberg, Werner (1901-1976)
1933-06-11;Born, Max (1882-1970);Heisenberg, Werner (1901-1976)
1933-10-23;Casimir, Hendrik Brugt Gerhard (1909-2000) [vermutlich];Heisenberg, Werner (1901-1976)
1934-04-29;Courant, Richard (1888-1972);Heisenberg, Werner (1901-1976)
1933-12-26;Courant, Richard (1888-1972);Heisenberg, Werner (1901-1976)
1933-11-11;Dirac, P. A. M. (1902-1984);Pauli, Wolfgang (1900-1958)
1933-12-07;Dirac, P. A. M. (1902-1984);Pauli, Wolfgang (1900-1958)
1933-07-05;Eucken, Arnold (1884-1950);Heisenberg, Werner (1901-1976)
1933-10-05;Fürth, Reinhold (1893-1979);Heisenberg, Werner (1901-1976)
1934-06-13;Geiger, Hans (1882-1945) /Eberhard Karls Universität Tübingen. Physikalisches Institut;Heisenberg, Werner (1901-1976)
1933-12-01;Geiger, Hans (1882-1945) /Eberhard Karls Universität Tübingen. Physikalisches Institut;Heisenberg, Werner (1901-1976)
1934-06-06;Jordan, Pascual (1902-1980);Heisenberg, Werner (1901-1976)
1935-06-03;Kramers, Hendrik Anthony (1894-1952) /Kamerlingh Onnes Laboratorium;Heisenberg, Werner (1901-1976)
1935-04-26;Kramers, Hendrik Anthony (1894-1952) /Kamerlingh Onnes Laboratorium;Heisenberg, Werner (1901-1976)
1934-09-10;Kramers, Hendrik Anthony (1894-1952) /Physisch Laboratorium (Utrecht);Heisenberg, Werner (1901-1976)
1934-08-02;Kramers, Hendrik Anthony (1894-1952);Heisenberg, Werner (1901-1976)
1934-05-18;Kramers, Hendrik Anthony (1894-1952) /Physisch Laboratorium (Utrecht);Heisenberg, Werner (1901-1976)
1934-02-28;Kramers, Hendrik Anthony (1894-1952) /Physisch Laboratorium (Utrecht);Heisenberg, Werner (1901-1976)
1933-12-15;Kramers, Hendrik Anthony (1894-1952) /Physisch Laboratorium (Utrecht);Heisenberg, Werner (1901-1976)
1933-08-07;Ladenburg, Rudolf (1882-1952);Heisenberg, Werner (1901-1976)
1933-06-20;Laue, Max von (1879-1960);Heisenberg, Werner (1901-1976)
1933-05-10;Laue, Max von (1879-1960) /Deutsche Physikalische Gesellschaft (1899-1945);Heisenberg, Werner (1901-1976)
1934-06-30;Oldenberg, Otto (1888-);Heisenberg, Werner (1901-1976)
1934-05-09;Oldenberg, Otto (1888-) /Harvard University. Physics Laboratories;Heisenberg, Werner (1901-1976)
1934-06-13;Pohl, Robert Wichard (1884-1976);Heisenberg, Werner (1901-1976)/ Georg-August-Universität Göttingen (Göttingen). Physikalisches Institut 1
1934-06-19;Polanyi, Michael (1891-1976);Heisenberg, Werner (1901-1976)
1934-07-24;Saunders, Frederick A... (1875-1963) /Harvard University. Physics Laboratories;Heisenberg, Werner (1901-1976)
1934-05-09;Saunders, Frederick A... (1875-1963) /Harvard University. Physics Laboratories;Heisenberg, Werner (1901-1976)
1934-04-05;Sauter, Fritz (1906-1983);Heisenberg, Werner (1901-1976)
1934-04-18;Sauter, Fritz (1906-1983);Heisenberg, Werner (1901-1976)
1934-04-13;Sauter, Fritz (1906-1983);Heisenberg, Werner (1901-1976)
1933-10-25;Sponer, Hertha (1895-1968);Heisenberg, Werner (1901-1976)
1934-01;Sugiura, Yoshikatsu;Heisenberg, Werner (1901-1976)
1931-06-24;Schrödinger, Erwin (1887-1961);Heisenberg, Werner (1901-1976)
1932-05-09;Heisenberg, Werner (1901-1976) /Universität Leipzig (Leipzig). Institut für Theoretische Physik;Rosenfeld, Léon (1904-1974)
1933-08-12;Pringsheim, Peter (1881-1963);Laue, Max von (1879-1960)
1933-08-15;Laue, Max von (1879-1960);Planck, Max (1858-1947)
1933-08-02;Laue, Max von (1879-1960);Schrödinger, Erwin (1887-1961)
1933-08-09;Laue, Max von (1879-1960);Pringsheim, Peter (1881-1963)
1933-08-02;Laue, Max von (1879-1960);Planck, Max (1858-1947)
1933-08-02;Laue, Max von (1879-1960);Paschen, Friedrich (1865-1947)
1933-06-23;Planck, Max (1858-1947);Laue, Max von (1879-1960)
1933-07-27;Pringsheim, Peter (1881-1963);Laue, Max von (1879-1960)
1933-05-13;Glum, Friedrich (1891-1974) /Kaiser-Wilhelm-Gesellschaft zur Förderung der Wissenschaften (1911-1948);Laue, Max von (1879-1960)
1933-05-03;Laue, Max von (1879-1960) [ermittelt];Kaiser-Wilhelm-Gesellschaft zur Förderung der Wissenschaften (1911-1948)
1933-04-27;Glum, Friedrich (1891-1974) /Kaiser-Wilhelm-Gesellschaft zur Förderung der Wissenschaften (1911-1948);Laue, Max von (1879-1960)
1930-07-06;Krupp von Bohlen und Halbach, Gustav (1870-1950) [vermutlich];Laue, Max von (1879-1960) [vermutlich]
1930-05-19;Planck, Max (1858-1947);Laue, Max von (1879-1960) [vermutlich]
1930-02-22;Planck, Max (1858-1947) /Preußische Akademie der Wissenschaften (1918-1946);Laue, Max von (1879-1960) [vermutlich]
1929-12-12;Stern, Otto (1888-1969) /Universität Hamburg. Institut für Physikalische Chemie;Laue, Max von (1879-1960) [vermutlich]
1929-12-15;Planck, Max (1858-1947);Laue, Max von (1879-1960) [vermutlich]
1929-04-03;Planck, Max (1858-1947);Laue, Max von (1879-1960) [vermutlich]
1929-04-22;Planck, Max (1858-1947);Laue, Max von (1879-1960) [vermutlich]
1929-02-28;Stern, Otto (1888-1969) /Universität Hamburg. Institut für Physikalische Chemie;Laue, Max von (1879-1960) [vermutlich]
1927-05-06;Einstein, Albert (1879-1955);Laue, Max von (1879-1960) [vermutlich]
1934-05-11;Waerden, Bartel L. van der (1903-1996);Heisenberg, Werner (1901-1976)
1927-08-26;Heisenberg, Werner (1901-1976);Wägele, Rolf
1928-05-04;Heisenberg, Werner (1901-1976);Wägele, Rolf
1928-12-06;Heisenberg, Werner (1901-1976);Wägele, Rolf
1935-12-18;Heisenberg, Werner (1901-1976);Wägele, Rolf
1935-10-10;Heisenberg, Werner (1901-1976);Wägele, Rolf
1929-05-11;Heisenberg, Werner (1901-1976);Wägele, Rolf
1933-09-28;Heisenberg, Werner (1901-1976);Wägele, Rolf
1932-12-29;Heisenberg, Werner (1901-1976);Wägele, Rolf
1934-06-09;Heisenberg, Werner (1901-1976);Wägele, Rolf
1928-05-04;Heisenberg, Werner (1901-1976);Wägele, Rolf
1931-12-16;Broglie, Louis de (1892-1987);Heisenberg, Werner (1901-1976)
1934-11-10;Debye, Peter J. W. (1884-1966) /Université de Liège. Institut de Chimie Générale;Heisenberg, Werner (1901-1976)
1935-03-17;Debye, Peter J. W. (1884-1966);Heisenberg, Werner (1901-1976)
1935-05-20;Debye, Peter J. W. (1884-1966) /Kaiser-Wilhelm-Institut für Physikalische Forschung (1917-1945);Heisenberg, Werner (1901-1976)/ Universität Leipzig (Leipzig). Institut für Theoretische Physik
1934-07-14;Eucken, Arnold (1884-1950) /Institut für Physikalische Chemie (Göttingen);Heisenberg, Werner (1901-1976)
1934-01-30;Fermi, Enrico (1901-1954) /Istituto di Fisica G. Marconi (Rom);Heisenberg, Werner (1901-1976)
1934-02-08;Fermi, Enrico (1901-1954) /Istituto di Fisica G. Marconi (Rom);Heisenberg, Werner (1901-1976)
1933-11-30;Fowler, R. H. (1889-1944) /Cavendish Laboratory (1873-);Heisenberg, Werner (1901-1976)/ Universität Leipzig (Leipzig). Institut für Theoretische Physik
1934-07-17;Fowler, R. H. (1889-1944) /Cavendish Laboratory (1873-);Heisenberg, Werner (1901-1976)
1934-02-15;Gamow, George (1904-1968);Heisenberg, Werner (1901-1976)
1934-02-28;Gamow, George (1904-1968);Heisenberg, Werner (1901-1976)
1932-12-11;Born, Max (1882-1970) /Born, Hedwig Martha (1891-1972) /Heisenberg, Werner (1901-1976);Heisenberg, Anna (1871-1945)
1933-03-31;Maar, Mariane;Heisenberg, Werner (1901-1976)
1933-04-24;Maar, Mariane;Heisenberg, Werner (1901-1976)
1933-06-05;Maar, Mariane;Heisenberg, Werner (1901-1976)
1933-07-17;Peierls, Rudolf Ernst (1907-1995) /Cavendish Laboratory (1873-);Pauli, Wolfgang (1900-1958)
1934-07-28;Placzek, Georg /Københavns Universitet. Institut for Teoretisk Fysik (1921-1974);Heisenberg, Werner (1901-1976)
1934-04-15;Placzek, Georg;Heisenberg, Werner (1901-1976)
1934-03-26;Rutherford, Ernest (1871-1937) /Cavendish Laboratory (1873-);Heisenberg, Werner (1901-1976)
1933-10-11;Sauter, Fritz (1906-1983) /Technische Hochschule Berlin. Institut für Theoretische Physik;Heisenberg, Werner (1901-1976)
1934-05-01;Weisskopf, Victor Frederick (1908-2002) /Eidgenössische Technische Hochschule Zürich. Physikalisches Institut;Heisenberg, Werner (1901-1976)
1934-05-03;Weisskopf, Victor Frederick (1908-2002) /Eidgenössische Technische Hochschule Zürich. Physikalisches Institut;Heisenberg, Werner (1901-1976)
1934-05-16;Weisskopf, Victor Frederick (1908-2002);Heisenberg, Werner (1901-1976)
1934-09-21;Weisskopf, Victor Frederick (1908-2002) /Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Physikalisches Institut;Heisenberg, Werner (1901-1976)
1934-10-13;Weisskopf, Victor Frederick (1908-2002) /Eidgenössische Technische Hochschule Zürich. Physikalisches Institut;Heisenberg, Werner (1901-1976)
1935-02-09;Weisskopf, Victor Frederick (1908-2002);Oppenheimer, J. Robert (1904-1967)
1923-11-23;Bechtle, Otto Wolfgang (1918-2012) /Bechtle-Verlag (Esslingen) (1868-);Heisenberg, Werner (1901-1976)
1935-10-14;Matossi, Frank (1902-1968);Wirtz, Karl (1910-1994)
1935-10-15;Wirtz, Karl (1910-1994);Matossi, Frank (1902-1968)
1935-10-01;Wirtz, Karl (1910-1994);Markkleeberg
1935-12-13;Wirtz, Karl (1910-1994);Verlag von Julius Springer (1842-1941)
1935-12-13;Wirtz, Karl (1910-1994);Matthée,...
1935-12-12;Verlag von Julius Springer (1842-1941);Wirtz, Karl (1910-1994)
1935-11-25;Wirtz, Karl (1910-1994);Matthée,.../ Zeitschrift für den physikalisch-chemischen Unterricht (Zeitschrift)
1935-12-14;Wirtz, Karl (1910-1994);Schaefer, Clemens (1878-1968)
1935-12-14;Wirtz, Karl (1910-1994);Schaefer, Clemens (1878-1968)
1935-10-17;Matthée,... /Die Naturwissenschaften (Zeitschrift) (1913-1992);Wirtz, Karl (1910-1994)
1935-11-22;Wirtz, Karl (1910-1994);Matthée,.../ Zeitschrift für den physikalisch-chemischen Unterricht (Zeitschrift)
1935-07-05;Fajans, Edgar;Wirtz, Karl (1910-1994)
1935-11-05;Matthée,... /Staatliche Hauptstelle für den Naturwissenschaftlichen Unterricht (Berlin);Wirtz, Karl (1910-1994)
1935-05-06;Foerst, Wilhelm (1898-) /Zeitschrift für angewandte Chemie;Wirtz, Karl (1910-1994)/ Physikalisch-Chemisches Institut (Leipzig)
1935-10-15;Deutscher Amateur-Sende- und Empfangs-Dienst;Wirtz, Karl (1910-1994)
1935-06-13;Sachsen. Ministerium für Volksbildung (1923-1951);Physikalisch-Chemisches Institut (Leipzig)
1935-04-18;Foerst, Wilhelm (1898-) /Zeitschrift für angewandte Chemie;Wirtz, Karl (1910-1994)/ Physikalisch-Chemisches Institut (Leipzig)
1935-02-25;Foerst, Wilhelm (1898-) /Zeitschrift für angewandte Chemie;Bonhoeffer, Karl F. (1899-1957)/ Physikalisch-Chemisches Institut (Leipzig)
1935-06-30;Wirtz, Karl (1910-1994);"Verlag Chemie (Leipzig; Berlin)"
1935-03-02;Wirtz, Karl (1910-1994);Zeitschrift für angewandte Chemie
1935-04-07;Wirtz, Karl (1910-1994);Schaefer, Clemens (1878-1968)
1935-04-06;Wirtz, Karl (1910-1994);Wirtz, Carl
1934-11-21;Wirtz, Karl (1910-1994);Czerny, Marianus (1896-1985)
1934-11-04;Wirtz, Karl (1910-1994);Matossi, Frank (1902-1968)
1934-11-03;Wirtz, Karl (1910-1994);Unbekannt
1934-10-31;Unbekannt;Wirtz, Karl (1910-1994)
1934-08-10;Unbekannt;Wirtz, Karl (1910-1994)
1933-12-30;Matossi, Frank (1902-1968);Wirtz, Karl (1910-1994)
1934-12-13;Franz Schmidt + Haensch GmbH & Co. (Berlin);Unbekannt
1935-02-19;Wirtz, Karl (1910-1994);Unbekannt
1934-05-02;Matossi-Riechemeier, Ottilie;Wirtz, Karl (1910-1994)
1934-04-22;Matossi-Riechemeier, Ottilie;Wirtz, Karl (1910-1994)
1934-06-17;Bergmann, Ludwig (1898-1959);Wirtz, Karl (1910-1994)
1934-06-11;Matossi, Frank (1902-1968);Wirtz, Karl (1910-1994)
1934-12-20;Notgemeinschaft der Deutschen Wissenschaft (1920-1951);Wirtz, Karl (1910-1994)
1935-03-05;Wirtz, Karl (1910-1994);Schaefer, Clemens (1878-1968) [vermutlich]
1935-02-05;Wirtz, Karl (1910-1994);Deutsche Dozentenschaft
1935-01-05;Wirtz, Karl (1910-1994) /Physikalisch-Chemisches Institut (Leipzig);Nationalsozialistisches Kraftfahr-Korps (1931-1945)
1934-12-20;Wirtz, Karl (1910-1994);Deutsche Dozentenschaft
1934-12-19;Wirtz, Karl (1910-1994);Bonhoeffer, Karl F. (1899-1957)
1934-12-19;Wirtz, Karl (1910-1994);Schaefer, Clemens (1878-1968) [vermutlich]
1934-12-18;Bonhoeffer, Karl F. (1899-1957);Wirtz, Karl (1910-1994)
1934-12-18;Wirtz, Karl (1910-1994);Schaefer, Clemens (1878-1968) [vermutlich]
1934-12-16;Wirtz, Carl;Bonhoeffer, Karl F. (1899-1957)
1934-12-16;Wirtz, Carl;Wirtz, Karl (1910-1994)
1934-12-15;Wirtz, Karl (1910-1994);Bonhoeffer, Karl F. (1899-1957)
1934-12-15;Wirtz, Karl (1910-1994);Scheel, Karl (1866-1936)
1934-12-14;Physikalisch-Chemisches Institut (Leipzig);Wirtz, Karl (1910-1994)
1934-12-13;Wirtz, Carl;Wirtz, Karl (1910-1994)
1934-12-14;Wirtz, Karl (1910-1994);Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1934-12-13;Wirtz, Karl (1910-1994);Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1934-12-12;Wirtz, Karl (1910-1994);Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1934-12-12;Wirtz, Karl (1910-1994);Bonhoeffer, Karl F. (1899-1957)
1934-12-12;Wirtz, Karl (1910-1994);Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1934-12-09;Wirtz, Carl;Wirtz, Karl (1910-1994)
1934-12-08;Wirtz, Karl (1910-1994);Wirtz, Carl
1934-12-08;Wirtz, Karl (1910-1994);Schaefer, Clemens (1878-1968) [vermutlich]
1934-12-07;Bonhoeffer, Karl F. (1899-1957) /Physikalisch-Chemisches Institut (Leipzig);Wirtz, Karl (1910-1994)
1934-12-04;Schaefer, Clemens (1878-1968) /Physikalisches Institut Breslau;Wirtz, Karl (1910-1994)
1934-12-03;Wirtz, Carl;Wirtz, Karl (1910-1994)
1934-11-27;Wirtz, Karl (1910-1994);Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1934-11-29;Wirtz, Karl (1910-1994);Schaefer, Clemens (1878-1968) [vermutlich]
1934-11-27;Wirtz, Karl (1910-1994);Stark, Johannes (1874-1957)/ Notgemeinschaft der Deutschen Wissenschaft (1920-1951)
1934-11-22;Stark, Johannes (1874-1957) /Notgemeinschaft der Deutschen Wissenschaft (1920-1951);Wirtz, Karl (1910-1994)
1934-09-24;Wirtz, Karl (1910-1994);Franz Schmidt + Haensch GmbH & Co. (Berlin)
1934-12-13;Matossi, Frank (1902-1968);Wirtz, Karl (1910-1994)
1934-12-12;Matossi-Riechemeier, Ottilie;Wirtz, Karl (1910-1994)
1935-01-08;Carl Zeiss (Jena) (1846-1945);Wirtz, Karl (1910-1994)/ Universität (Halle) / Univeritätslaboratorium für theoretische Physik
1934-09-07;Wirtz, Karl (1910-1994);Carl Zeiss (Jena) (1846-1945)
1934-07-10;Wirtz, Karl (1910-1994);Carl Zeiss (Jena) (1846-1945)
1934-12-18;Wirtz, Karl (1910-1994);Carl Zeiss (Jena) (1846-1945)
1934-07-20;Carl Zeiss (Jena) (1846-1945);Wirtz, Karl (1910-1994)
1934-08-28;Carl Zeiss (Jena) (1846-1945);Wirtz, Karl (1910-1994)
1934-07-05;Carl Zeiss (Jena) (1846-1945);Wirtz, Karl (1910-1994)
1934-12-15;Postamt (Halle, Saale);Wirtz, Karl (1910-1994)
1934-06-01;Schaefer, Clemens (1878-1968) /Physikalisches Institut Breslau;Wirtz, Karl (1910-1994)
1934-08-07;Smekal, Adolf (1895-1959) /Universität (Halle) / Univeritätslaboratorium für theoretische Physik;Wirtz, Karl (1910-1994)
1934-02-24;Smekal, Adolf (1895-1959) /Universität (Halle) / Univeritätslaboratorium für theoretische Physik;Wirtz, Karl (1910-1994)/ Physikalisches Institut Breslau
1934-09-10;Schaefer, Clemens (1878-1968);Wirtz, Karl (1910-1994)
1934-04-13;Vereinigte Friedrichs-Universität Halle-Wittenberg, Kurator;Wirtz, Karl (1910-1994)
1935-04-13;Schaefer, Clemens (1878-1968);Wirtz, Karl (1910-1994)
1932-12-21;Weiler, Justo;Schaefer, Clemens (1878-1968)
1932-12-19;Schaefer, Clemens (1878-1968);Weiler, Justo
1932-12-12;Weiler, Justo;Schaefer, Clemens (1878-1968)
1933-09-06;Wierzejewski, Hugo;Wirtz, Karl (1910-1994)
1935-12-18;Schaefer, Clemens (1878-1968);Wirtz, Karl (1910-1994)
1920-07-21;Bersin, Theodor;Heisenberg, Werner (1901-1976)
1935-08-25;Berliner, Arnold (1862-1942);Heisenberg, Werner (1901-1976)
1933-11-19;Friedrich, Wolf (1908-1952) /Nationalsozialistischer Deutscher Studentbund. Kreisleitung IV;Heisenberg, Werner (1901-1976)
1934-04-25;Goerens, Paul;Heisenberg, Werner (1901-1976)
1934-04-18;Heisenberg, Werner (1901-1976) [vermutlich];Goerens, Paul/ Verein Deutscher Eisenhüttenleute (1881-2002)
1934-06-05;Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002);Heisenberg, Werner (1901-1976)
1934-06-05;Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002);Heisenberg, Werner (1901-1976)
1934-05-05;Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002);Heisenberg, Werner (1901-1976)
1934-04-17;Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002);Heisenberg, Werner (1901-1976)
1934-02-07;Petersen, Otto (1874-1953) /Verein Deutscher Eisenhüttenleute (1881-2002);Heisenberg, Werner (1901-1976)
1935-06-13;Rasmussen, Ebbe (1901-1959) /Unbekannt;Heisenberg, Werner (1901-1976)
1934-07-04;Rau, Hans (1881-);Heisenberg, Werner (1901-1976)
1934-02-09;Reich, Max (1874-1941) /Georg-August-Universität Göttingen. Mathematisch-Naturwissenschaftliche Fakultät;Heisenberg, Werner (1901-1976)
1932-10-06;Nishina, Yoshio /Fujioka, Yoshio (1903-1976) [vermutlich] /Sugiura, Yoshikatsu;Heisenberg, Werner (1901-1976) [vermutlich]
